Sequential(
  (0): Linear(in_features=784, out_features=100, bias=True)
  (1): Dropout(p=0.3, inplace=False)
  (2): Tanh()
  (3): Linear(in_features=100, out_features=10, bias=True)
)
Training epoch 1
Training loss: 0.9890
Valid acc: 0.8054
Training epoch 2
Training loss: 0.8048
Valid acc: 0.8307
Training epoch 3
Training loss: 0.7191
Valid acc: 0.8457
Training epoch 4
Training loss: 0.6646
Valid acc: 0.8565
Training epoch 5
Training loss: 0.6247
Valid acc: 0.8646
Training epoch 6
Training loss: 0.5939
Valid acc: 0.8745
Training epoch 7
Training loss: 0.5690
Valid acc: 0.8806
Training epoch 8
Training loss: 0.5477
Valid acc: 0.8847
Training epoch 9
Training loss: 0.5293
Valid acc: 0.8915
Training epoch 10
Training loss: 0.5128
Valid acc: 0.8930
Training epoch 11
Training loss: 0.4984
Valid acc: 0.8958
Training epoch 12
Training loss: 0.4856
Valid acc: 0.8987
Training epoch 13
Training loss: 0.4741
Valid acc: 0.9034
Training epoch 14
Training loss: 0.4637
Valid acc: 0.9040
Training epoch 15
Training loss: 0.4543
Valid acc: 0.9070
Training epoch 16
Training loss: 0.4457
Valid acc: 0.9094
Training epoch 17
Training loss: 0.4374
Valid acc: 0.9096
Training epoch 18
Training loss: 0.4299
Valid acc: 0.9110
Training epoch 19
Training loss: 0.4228
Valid acc: 0.9126
Training epoch 20
Training loss: 0.4162
Valid acc: 0.9128
Final Test acc: 0.8289
