Sequential(
  (0): Linear(in_features=784, out_features=100, bias=True)
  (1): Dropout(p=0.3, inplace=False)
  (2): ReLU()
  (3): Linear(in_features=100, out_features=10, bias=True)
)
Training epoch 1
Training loss: 1.9942
Valid acc: 0.6256
Training epoch 2
Training loss: 1.7004
Valid acc: 0.7071
Training epoch 3
Training loss: 1.5033
Valid acc: 0.7420
Training epoch 4
Training loss: 1.3683
Valid acc: 0.7667
Training epoch 5
Training loss: 1.2690
Valid acc: 0.7849
Training epoch 6
Training loss: 1.1925
Valid acc: 0.7987
Training epoch 7
Training loss: 1.1312
Valid acc: 0.8072
Training epoch 8
Training loss: 1.0806
Valid acc: 0.8146
Training epoch 9
Training loss: 1.0378
Valid acc: 0.8232
Training epoch 10
Training loss: 1.0009
Valid acc: 0.8285
Training epoch 11
Training loss: 0.9685
Valid acc: 0.8317
Training epoch 12
Training loss: 0.9398
Valid acc: 0.8374
Training epoch 13
Training loss: 0.9145
Valid acc: 0.8425
Training epoch 14
Training loss: 0.8914
Valid acc: 0.8454
Training epoch 15
Training loss: 0.8705
Valid acc: 0.8497
Training epoch 16
Training loss: 0.8513
Valid acc: 0.8531
Training epoch 17
Training loss: 0.8336
Valid acc: 0.8569
Training epoch 18
Training loss: 0.8173
Valid acc: 0.8616
Training epoch 19
Training loss: 0.8020
Valid acc: 0.8643
Training epoch 20
Training loss: 0.7879
Valid acc: 0.8656
Final Test acc: 0.7449
