Sequential(
  (0): Linear(in_features=784, out_features=100, bias=True)
  (1): Dropout(p=0.3, inplace=False)
  (2): ReLU()
  (3): Linear(in_features=100, out_features=100, bias=True)
  (4): Dropout(p=0.3, inplace=False)
  (5): ReLU()
  (6): Linear(in_features=100, out_features=10, bias=True)
)
Training epoch 1
Training loss: 1.2939
Valid acc: 0.8090
Training epoch 2
Training loss: 0.9743
Valid acc: 0.8609
Training epoch 3
Training loss: 0.8229
Valid acc: 0.8880
Training epoch 4
Training loss: 0.7305
Valid acc: 0.8983
Training epoch 5
Training loss: 0.6651
Valid acc: 0.9085
Training epoch 6
Training loss: 0.6159
Valid acc: 0.9141
Training epoch 7
Training loss: 0.5777
Valid acc: 0.9204
Training epoch 8
Training loss: 0.5467
Valid acc: 0.9274
Training epoch 9
Training loss: 0.5202
Valid acc: 0.9297
Training epoch 10
Training loss: 0.4972
Valid acc: 0.9304
Training epoch 11
Training loss: 0.4778
Valid acc: 0.9342
Training epoch 12
Training loss: 0.4606
Valid acc: 0.9379
Training epoch 13
Training loss: 0.4453
Valid acc: 0.9387
Training epoch 14
Training loss: 0.4316
Valid acc: 0.9384
Training epoch 15
Training loss: 0.4190
Valid acc: 0.9408
Training epoch 16
Training loss: 0.4075
Valid acc: 0.9412
Training epoch 17
Training loss: 0.3974
Valid acc: 0.9417
Training epoch 18
Training loss: 0.3879
Valid acc: 0.9415
Training epoch 19
Training loss: 0.3790
Valid acc: 0.9435
Training epoch 20
Training loss: 0.3707
Valid acc: 0.9459
Final Test acc: 0.8725
